Wall time,Step,Value
1701552133.2288628,145,0.0024908448103815317
1701552133.7618656,169,0.0015346049331128597
1701552133.828864,172,0.0014346896205097437
1701552134.4269161,198,0.00022580094810109586
1701552134.9429004,221,0.00012924990733154118
1701552136.2718995,282,0.0002910859475377947
1701552136.3349128,285,0.00014840469521004707
1701552136.52991,294,0.00025898986496031284
1701552137.9059036,356,0.0004087819834239781
1701552138.0149007,361,0.00038569443859159946
1701552138.5059066,382,0.00035373508580960333
1701552138.9138994,400,0.00028290110640227795
1701552139.6929064,435,0.0002970568893942982
1701552139.7409043,437,0.0003731627366505563
1701552139.9349005,445,0.0003910077502951026
1701552140.6639047,474,0.00022259687830228359
1701552141.099899,494,0.00016068905824795365
1701552142.2814083,548,7.61357368901372e-05
1701552143.1484065,587,0.0001931113947648555
1701552143.446405,601,0.00011725433432729915
1701552144.7925065,663,0.0001421784545527771
1701552145.3826513,690,0.00011998353875242174
1701552145.7526474,706,0.00014187549822963774
1701552145.9126475,713,0.0001547651190776378
1701552145.9346478,714,0.0001504303509136662
1701552146.986648,761,0.00011295318836346269
1701552147.3079152,774,5.7760604249779135e-05
1701552147.6189227,788,8.499264367856085e-05
1701552147.8539226,798,9.184097871184349e-05
1701552148.8159223,841,0.00016415692516602576
1701552148.9851065,849,0.000133244160679169
1701552149.9410913,892,0.0001270654465770349
1701552150.0300908,896,0.00013874529395252466
1701552150.0740924,898,8.017884101718664e-05
1701552150.4470906,912,0.0001169928364106454
1701552150.500093,914,0.00012290239101275802
1701552150.6890917,921,0.00015468455967493355
1701552150.879092,929,0.00013482954818755388
1701552151.030091,935,0.000129749154439196
1701552151.7080948,963,0.00019147287821397185
1701552154.2540982,1072,5.505101944436319e-05
1701552154.866091,1098,8.128692570608109e-05
1701552154.8940926,1099,4.764837649418041e-05
1701552155.045091,1105,4.404449282446876e-05
1701552155.6250982,1129,3.867600389639847e-05
1701552155.695091,1132,4.488711419980973e-05
1701552155.9030917,1141,7.309440115932375e-05
1701552157.0440938,1190,5.705143848899752e-05
1701552157.1140912,1193,5.8812034694710746e-05
1701552157.7340941,1220,6.665100227110088e-05
1701552157.8710916,1226,2.8454971470637247e-05
1701552157.9830906,1231,4.9639580538496375e-05
1701552159.2080986,1283,6.54441028018482e-05
1701552159.3400924,1288,6.122430204413831e-05
1701552159.3620937,1289,6.111637776484713e-05
1701552159.7780914,1307,3.374821972101927e-05
1701552160.0740974,1320,4.558269938570447e-05
1701552161.2590935,1371,6.58411590848118e-05
1701552161.6530914,1388,4.570190139929764e-05
1701552162.9490917,1443,5.718582178815268e-05
